,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.453,0.0436,10,-25.912,0,0.0364,0.99,0.842,0.111,0.198,71.987,audio_features,7FyzToHhKG9b9gS19kWg8a,spotify:track:7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/tracks/7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/audio-analysis/7FyzToHhKG9b9gS19kWg8a,166000,4,calm
1,0.437,0.0184,8,-30.783,1,0.0413,0.994,0.93,0.114,0.0478,119.985,audio_features,5a8V9tjazhBAIbUiFqpu8N,spotify:track:5a8V9tjazhBAIbUiFqpu8N,https://api.spotify.com/v1/tracks/5a8V9tjazhBAIbUiFqpu8N,https://api.spotify.com/v1/audio-analysis/5a8V9tjazhBAIbUiFqpu8N,205794,4,calm
2,0.366,0.0161,5,-27.355,1,0.0632,0.992,0.951,0.11,0.171,49.668,audio_features,3WiissyVFRpCVrqbyPKZxZ,spotify:track:3WiissyVFRpCVrqbyPKZxZ,https://api.spotify.com/v1/tracks/3WiissyVFRpCVrqbyPKZxZ,https://api.spotify.com/v1/audio-analysis/3WiissyVFRpCVrqbyPKZxZ,121068,4,calm
3,0.385,0.00786,0,-25.033,1,0.0546,0.996,0.843,0.0928,0.129,74.284,audio_features,3orRX2Ms4jy4dU9KqJ9zT1,spotify:track:3orRX2Ms4jy4dU9KqJ9zT1,https://api.spotify.com/v1/tracks/3orRX2Ms4jy4dU9KqJ9zT1,https://api.spotify.com/v1/audio-analysis/3orRX2Ms4jy4dU9KqJ9zT1,180000,4,calm
4,0.381,0.00324,6,-33.019,0,0.0351,0.994,0.885,0.0746,0.0839,101.624,audio_features,536rm114S2ByPbh906pksj,spotify:track:536rm114S2ByPbh906pksj,https://api.spotify.com/v1/tracks/536rm114S2ByPbh906pksj,https://api.spotify.com/v1/audio-analysis/536rm114S2ByPbh906pksj,156000,4,calm
5,0.401,0.0273,7,-30.596,1,0.0532,0.994,0.916,0.107,0.236,133.722,audio_features,5LS7VV5Gp3evv8pjcpTDDu,spotify:track:5LS7VV5Gp3evv8pjcpTDDu,https://api.spotify.com/v1/tracks/5LS7VV5Gp3evv8pjcpTDDu,https://api.spotify.com/v1/audio-analysis/5LS7VV5Gp3evv8pjcpTDDu,143500,4,calm
6,0.583,0.0898,7,-26.106,1,0.0336,0.994,0.961,0.103,0.337,113.186,audio_features,6jFdydFW7HvS77aiiRR9XL,spotify:track:6jFdydFW7HvS77aiiRR9XL,https://api.spotify.com/v1/tracks/6jFdydFW7HvS77aiiRR9XL,https://api.spotify.com/v1/audio-analysis/6jFdydFW7HvS77aiiRR9XL,127395,4,calm
7,0.429,0.00955,3,-32.046,0,0.0352,0.994,0.955,0.108,0.359,65.547,audio_features,2oBPx5k5ejQcgzyDMoRlAU,spotify:track:2oBPx5k5ejQcgzyDMoRlAU,https://api.spotify.com/v1/tracks/2oBPx5k5ejQcgzyDMoRlAU,https://api.spotify.com/v1/audio-analysis/2oBPx5k5ejQcgzyDMoRlAU,135360,4,calm
8,0.527,0.00635,0,-31.134,1,0.0659,0.996,0.959,0.12,0.736,69.758,audio_features,4YxLJVcYXgN1Kxb67BvxEZ,spotify:track:4YxLJVcYXgN1Kxb67BvxEZ,https://api.spotify.com/v1/tracks/4YxLJVcYXgN1Kxb67BvxEZ,https://api.spotify.com/v1/audio-analysis/4YxLJVcYXgN1Kxb67BvxEZ,136692,3,calm
9,0.347,0.0183,3,-27.986,1,0.0428,0.962,0.933,0.104,0.0731,71.763,audio_features,59qHsSncWfBdugXAp2E5AH,spotify:track:59qHsSncWfBdugXAp2E5AH,https://api.spotify.com/v1/tracks/59qHsSncWfBdugXAp2E5AH,https://api.spotify.com/v1/audio-analysis/59qHsSncWfBdugXAp2E5AH,183055,3,calm
