,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.191,0.00401,6,-28.364,0,0.0356,0.986,0.934,0.104,0.128,74.674,audio_features,4m6jCOTDZfNhKA7qUEpo98,spotify:track:4m6jCOTDZfNhKA7qUEpo98,https://api.spotify.com/v1/tracks/4m6jCOTDZfNhKA7qUEpo98,https://api.spotify.com/v1/audio-analysis/4m6jCOTDZfNhKA7qUEpo98,233056,4,calm
1,0.0962,0.00189,4,-42.482,1,0.046,0.962,0.884,0.0748,0.0974,88.333,audio_features,61XlrBX0wIJNoTAzlNsCZx,spotify:track:61XlrBX0wIJNoTAzlNsCZx,https://api.spotify.com/v1/tracks/61XlrBX0wIJNoTAzlNsCZx,https://api.spotify.com/v1/audio-analysis/61XlrBX0wIJNoTAzlNsCZx,148800,1,calm
2,0.665,0.043,9,-24.049,0,0.0376,0.971,0.91,0.116,0.275,115.059,audio_features,7rssQlMojcRhT7Dd5NNKqF,spotify:track:7rssQlMojcRhT7Dd5NNKqF,https://api.spotify.com/v1/tracks/7rssQlMojcRhT7Dd5NNKqF,https://api.spotify.com/v1/audio-analysis/7rssQlMojcRhT7Dd5NNKqF,204774,4,calm
3,0.515,0.0214,1,-30.545,1,0.0347,0.966,0.925,0.112,0.0382,148.163,audio_features,79GIRejvbVrpQTc8287iYz,spotify:track:79GIRejvbVrpQTc8287iYz,https://api.spotify.com/v1/tracks/79GIRejvbVrpQTc8287iYz,https://api.spotify.com/v1/audio-analysis/79GIRejvbVrpQTc8287iYz,184342,4,calm
4,0.0797,0.0596,0,-28.62,0,0.0397,0.918,0.815,0.198,0.0664,80.261,audio_features,7Fk9G56CT7oAyqPRHCR54V,spotify:track:7Fk9G56CT7oAyqPRHCR54V,https://api.spotify.com/v1/tracks/7Fk9G56CT7oAyqPRHCR54V,https://api.spotify.com/v1/audio-analysis/7Fk9G56CT7oAyqPRHCR54V,196709,4,calm
5,0.329,0.0603,7,-21.257,1,0.04,0.988,0.87,0.125,0.08,130.722,audio_features,4lGwOa5uQ6NFjm1wTZODUo,spotify:track:4lGwOa5uQ6NFjm1wTZODUo,https://api.spotify.com/v1/tracks/4lGwOa5uQ6NFjm1wTZODUo,https://api.spotify.com/v1/audio-analysis/4lGwOa5uQ6NFjm1wTZODUo,158810,4,calm
6,0.384,0.0599,9,-27.163,0,0.0514,0.991,0.952,0.0948,0.141,110.154,audio_features,2VacWaqYcTQZAPFWir3jos,spotify:track:2VacWaqYcTQZAPFWir3jos,https://api.spotify.com/v1/tracks/2VacWaqYcTQZAPFWir3jos,https://api.spotify.com/v1/audio-analysis/2VacWaqYcTQZAPFWir3jos,374409,4,calm
7,0.384,0.0599,9,-27.163,0,0.0514,0.991,0.952,0.0948,0.141,110.154,audio_features,0yCUFoLB1BY4QnTHlzz2Xl,spotify:track:0yCUFoLB1BY4QnTHlzz2Xl,https://api.spotify.com/v1/tracks/0yCUFoLB1BY4QnTHlzz2Xl,https://api.spotify.com/v1/audio-analysis/0yCUFoLB1BY4QnTHlzz2Xl,374409,4,calm
8,0.747,0.147,5,-24.979,0,0.0402,0.994,0.962,0.115,0.626,99.01,audio_features,5LeobX1vuRcmKRU0tTRCj1,spotify:track:5LeobX1vuRcmKRU0tTRCj1,https://api.spotify.com/v1/tracks/5LeobX1vuRcmKRU0tTRCj1,https://api.spotify.com/v1/audio-analysis/5LeobX1vuRcmKRU0tTRCj1,187972,4,calm
9,0.197,0.00298,2,-43.394,1,0.0451,0.975,0.953,0.0735,0.0506,67.397,audio_features,0pszkvsrkiMGJiF8WlRFHu,spotify:track:0pszkvsrkiMGJiF8WlRFHu,https://api.spotify.com/v1/tracks/0pszkvsrkiMGJiF8WlRFHu,https://api.spotify.com/v1/audio-analysis/0pszkvsrkiMGJiF8WlRFHu,141561,4,calm
