,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.402,0.0037,8,-35.514,1,0.0452,0.986,0.939,0.153,0.192,68.836,audio_features,1HVMOiJZzq3F8o8VEQsh77,spotify:track:1HVMOiJZzq3F8o8VEQsh77,https://api.spotify.com/v1/tracks/1HVMOiJZzq3F8o8VEQsh77,https://api.spotify.com/v1/audio-analysis/1HVMOiJZzq3F8o8VEQsh77,148653,4,calm
1,0.227,0.0643,0,-29.419,1,0.0461,0.994,0.915,0.104,0.31,165.015,audio_features,6vkmvL8i9sfIHoAlzJcfAO,spotify:track:6vkmvL8i9sfIHoAlzJcfAO,https://api.spotify.com/v1/tracks/6vkmvL8i9sfIHoAlzJcfAO,https://api.spotify.com/v1/audio-analysis/6vkmvL8i9sfIHoAlzJcfAO,144576,4,calm
2,0.427,0.0108,4,-32.288,1,0.048,0.993,0.897,0.0878,0.419,57.486,audio_features,2IxfYyUQFZWoopvcfOmKnV,spotify:track:2IxfYyUQFZWoopvcfOmKnV,https://api.spotify.com/v1/tracks/2IxfYyUQFZWoopvcfOmKnV,https://api.spotify.com/v1/audio-analysis/2IxfYyUQFZWoopvcfOmKnV,163500,5,calm
3,0.341,0.0339,0,-27.702,0,0.0381,0.978,0.914,0.104,0.152,87.291,audio_features,1s8esXu1jTNJ49RwotQLSc,spotify:track:1s8esXu1jTNJ49RwotQLSc,https://api.spotify.com/v1/tracks/1s8esXu1jTNJ49RwotQLSc,https://api.spotify.com/v1/audio-analysis/1s8esXu1jTNJ49RwotQLSc,121857,4,calm
4,0.406,0.0042,3,-35.124,1,0.0899,0.993,0.961,0.104,0.0599,66.574,audio_features,7geHCfvKGWHQ9d24S2a2aa,spotify:track:7geHCfvKGWHQ9d24S2a2aa,https://api.spotify.com/v1/tracks/7geHCfvKGWHQ9d24S2a2aa,https://api.spotify.com/v1/audio-analysis/7geHCfvKGWHQ9d24S2a2aa,136421,4,calm
5,0.483,0.0451,5,-30.442,0,0.0373,0.994,0.947,0.108,0.259,81.665,audio_features,6KdboS5Iw7ngyfQDbXlSoU,spotify:track:6KdboS5Iw7ngyfQDbXlSoU,https://api.spotify.com/v1/tracks/6KdboS5Iw7ngyfQDbXlSoU,https://api.spotify.com/v1/audio-analysis/6KdboS5Iw7ngyfQDbXlSoU,148250,3,calm
6,0.504,0.0274,11,-25.223,0,0.0515,0.993,0.867,0.0911,0.105,131.24,audio_features,41jpD9d8fOSzOya79B7A7K,spotify:track:41jpD9d8fOSzOya79B7A7K,https://api.spotify.com/v1/tracks/41jpD9d8fOSzOya79B7A7K,https://api.spotify.com/v1/audio-analysis/41jpD9d8fOSzOya79B7A7K,165350,3,calm
7,0.351,0.022,9,-27.549,1,0.0409,0.988,0.886,0.107,0.245,68.805,audio_features,1Pjy5zOeaXPieqUfiSdGEb,spotify:track:1Pjy5zOeaXPieqUfiSdGEb,https://api.spotify.com/v1/tracks/1Pjy5zOeaXPieqUfiSdGEb,https://api.spotify.com/v1/audio-analysis/1Pjy5zOeaXPieqUfiSdGEb,141375,4,calm
8,0.42,0.0452,8,-28.208,1,0.0325,0.994,0.932,0.105,0.26,126.416,audio_features,6G0iS7Lf08bZgjrdV1aRZ2,spotify:track:6G0iS7Lf08bZgjrdV1aRZ2,https://api.spotify.com/v1/tracks/6G0iS7Lf08bZgjrdV1aRZ2,https://api.spotify.com/v1/audio-analysis/6G0iS7Lf08bZgjrdV1aRZ2,127582,4,calm
9,0.459,0.0408,0,-29.698,1,0.0327,0.991,0.852,0.106,0.316,69.467,audio_features,1hsC8r1VfGSuGCwLWbzmEh,spotify:track:1hsC8r1VfGSuGCwLWbzmEh,https://api.spotify.com/v1/tracks/1hsC8r1VfGSuGCwLWbzmEh,https://api.spotify.com/v1/audio-analysis/1hsC8r1VfGSuGCwLWbzmEh,160250,4,calm
