,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.199,0.19,0,-20.543,1,0.0471,0.092,0.82,0.112,0.0497,118.79,audio_features,0oEsb9pPuLAa1pUagDv4BH,spotify:track:0oEsb9pPuLAa1pUagDv4BH,https://api.spotify.com/v1/tracks/0oEsb9pPuLAa1pUagDv4BH,https://api.spotify.com/v1/audio-analysis/0oEsb9pPuLAa1pUagDv4BH,193339,4,calm
1,0.0632,0.236,2,-19.026,1,0.0408,0.956,0.831,0.0613,0.0865,64.833,audio_features,6k9EQcMdqJRtmIM3fwy9vW,spotify:track:6k9EQcMdqJRtmIM3fwy9vW,https://api.spotify.com/v1/tracks/6k9EQcMdqJRtmIM3fwy9vW,https://api.spotify.com/v1/audio-analysis/6k9EQcMdqJRtmIM3fwy9vW,219091,4,calm
2,0.568,0.0653,11,-21.144,1,0.0329,0.979,0.931,0.0917,0.162,101.932,audio_features,4dBLdbunzf7DmpKpH4Yokj,spotify:track:4dBLdbunzf7DmpKpH4Yokj,https://api.spotify.com/v1/tracks/4dBLdbunzf7DmpKpH4Yokj,https://api.spotify.com/v1/audio-analysis/4dBLdbunzf7DmpKpH4Yokj,160696,4,calm
3,0.225,0.0998,1,-28.557,1,0.0358,0.864,0.921,0.117,0.0377,69.303,audio_features,0oEiyb6tSp2zXavLyUAAlF,spotify:track:0oEiyb6tSp2zXavLyUAAlF,https://api.spotify.com/v1/tracks/0oEiyb6tSp2zXavLyUAAlF,https://api.spotify.com/v1/audio-analysis/0oEiyb6tSp2zXavLyUAAlF,154800,3,calm
4,0.512,0.244,3,-21.57,0,0.0326,0.876,0.783,0.121,0.0313,121.99,audio_features,7gNYToImB0Q4QLjptXOT5J,spotify:track:7gNYToImB0Q4QLjptXOT5J,https://api.spotify.com/v1/tracks/7gNYToImB0Q4QLjptXOT5J,https://api.spotify.com/v1/audio-analysis/7gNYToImB0Q4QLjptXOT5J,255000,4,calm
5,0.198,0.0657,7,-20.771,1,0.0375,0.983,0.963,0.0684,0.0372,64.911,audio_features,41hD0lo1wIP9GX25JE4Kfu,spotify:track:41hD0lo1wIP9GX25JE4Kfu,https://api.spotify.com/v1/tracks/41hD0lo1wIP9GX25JE4Kfu,https://api.spotify.com/v1/audio-analysis/41hD0lo1wIP9GX25JE4Kfu,213788,4,calm
6,0.301,0.0903,9,-23.263,0,0.0325,0.972,0.896,0.105,0.0748,90.072,audio_features,5V5TF6nM3jYyvJENU2P8RK,spotify:track:5V5TF6nM3jYyvJENU2P8RK,https://api.spotify.com/v1/tracks/5V5TF6nM3jYyvJENU2P8RK,https://api.spotify.com/v1/audio-analysis/5V5TF6nM3jYyvJENU2P8RK,179917,4,calm
7,0.467,0.054,0,-23.784,1,0.0324,0.959,0.928,0.11,0.0721,111.989,audio_features,1ZLsZGzB04p76fyrUcnxOf,spotify:track:1ZLsZGzB04p76fyrUcnxOf,https://api.spotify.com/v1/tracks/1ZLsZGzB04p76fyrUcnxOf,https://api.spotify.com/v1/audio-analysis/1ZLsZGzB04p76fyrUcnxOf,180500,4,calm
8,0.208,0.018,0,-36.199,1,0.0419,0.969,0.943,0.118,0.0833,79.314,audio_features,111mQkL4f8vfUzteOkrzWF,spotify:track:111mQkL4f8vfUzteOkrzWF,https://api.spotify.com/v1/tracks/111mQkL4f8vfUzteOkrzWF,https://api.spotify.com/v1/audio-analysis/111mQkL4f8vfUzteOkrzWF,179000,4,calm
9,0.487,0.0588,5,-20.551,1,0.04,0.767,0.876,0.0971,0.0585,82.7,audio_features,6PRosknEATsCworPrmpYZa,spotify:track:6PRosknEATsCworPrmpYZa,https://api.spotify.com/v1/tracks/6PRosknEATsCworPrmpYZa,https://api.spotify.com/v1/audio-analysis/6PRosknEATsCworPrmpYZa,190197,5,calm
