,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.289,0.0253,2,-31.435,1,0.0376,0.994,0.919,0.0837,0.138,99.801,audio_features,1ijwLR1iybtxaUbasUj7kJ,spotify:track:1ijwLR1iybtxaUbasUj7kJ,https://api.spotify.com/v1/tracks/1ijwLR1iybtxaUbasUj7kJ,https://api.spotify.com/v1/audio-analysis/1ijwLR1iybtxaUbasUj7kJ,150000,4,calm
1,0.419,0.00988,6,-28.722,1,0.0395,0.991,0.854,0.0888,0.249,95.894,audio_features,4C4B9L1O7JCiDSniF64rbJ,spotify:track:4C4B9L1O7JCiDSniF64rbJ,https://api.spotify.com/v1/tracks/4C4B9L1O7JCiDSniF64rbJ,https://api.spotify.com/v1/audio-analysis/4C4B9L1O7JCiDSniF64rbJ,237250,4,calm
2,0.232,0.0612,7,-29.921,1,0.0395,0.985,0.944,0.11,0.13,135.159,audio_features,3J8dqKlO2trb3uRGhcx3ok,spotify:track:3J8dqKlO2trb3uRGhcx3ok,https://api.spotify.com/v1/tracks/3J8dqKlO2trb3uRGhcx3ok,https://api.spotify.com/v1/audio-analysis/3J8dqKlO2trb3uRGhcx3ok,179951,4,calm
3,0.409,0.0276,0,-28.76,1,0.0392,0.995,0.938,0.107,0.323,66.873,audio_features,6FiFFLgiC4yfPfTCXWIKtT,spotify:track:6FiFFLgiC4yfPfTCXWIKtT,https://api.spotify.com/v1/tracks/6FiFFLgiC4yfPfTCXWIKtT,https://api.spotify.com/v1/audio-analysis/6FiFFLgiC4yfPfTCXWIKtT,124000,4,calm
4,0.342,0.0311,2,-22.175,1,0.0395,0.989,0.913,0.0989,0.133,132.764,audio_features,4PzCduZiQfY4E4661r2V3u,spotify:track:4PzCduZiQfY4E4661r2V3u,https://api.spotify.com/v1/tracks/4PzCduZiQfY4E4661r2V3u,https://api.spotify.com/v1/audio-analysis/4PzCduZiQfY4E4661r2V3u,167333,3,calm
5,0.342,0.0314,3,-31.943,1,0.0447,0.992,0.919,0.122,0.0615,77.602,audio_features,4m1nRLXsFQE7dNQGDxCvlX,spotify:track:4m1nRLXsFQE7dNQGDxCvlX,https://api.spotify.com/v1/tracks/4m1nRLXsFQE7dNQGDxCvlX,https://api.spotify.com/v1/audio-analysis/4m1nRLXsFQE7dNQGDxCvlX,172625,4,calm
6,0.453,0.0436,10,-25.912,0,0.0364,0.99,0.842,0.111,0.198,71.987,audio_features,7FyzToHhKG9b9gS19kWg8a,spotify:track:7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/tracks/7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/audio-analysis/7FyzToHhKG9b9gS19kWg8a,166000,4,calm
7,0.481,0.0639,2,-24.46,0,0.0449,0.991,0.942,0.0922,0.301,125.058,audio_features,1nJE8TEWK9hf9Bl0pekJCi,spotify:track:1nJE8TEWK9hf9Bl0pekJCi,https://api.spotify.com/v1/tracks/1nJE8TEWK9hf9Bl0pekJCi,https://api.spotify.com/v1/audio-analysis/1nJE8TEWK9hf9Bl0pekJCi,140556,4,calm
8,0.454,0.0726,2,-25.57,1,0.0597,0.992,0.945,0.11,0.256,80.211,audio_features,1KVKQkKQ6pk8Hai7aKj5nx,spotify:track:1KVKQkKQ6pk8Hai7aKj5nx,https://api.spotify.com/v1/tracks/1KVKQkKQ6pk8Hai7aKj5nx,https://api.spotify.com/v1/audio-analysis/1KVKQkKQ6pk8Hai7aKj5nx,120000,3,calm
9,0.521,0.0058,3,-29.357,1,0.0459,0.994,0.961,0.143,0.416,64.963,audio_features,3y3krIeEKphe51xVjdHLXm,spotify:track:3y3krIeEKphe51xVjdHLXm,https://api.spotify.com/v1/tracks/3y3krIeEKphe51xVjdHLXm,https://api.spotify.com/v1/audio-analysis/3y3krIeEKphe51xVjdHLXm,160250,4,calm
