,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.533,0.919,4,-3.395,1,0.0477,0.000404,0.185,0.525,0.23,173.972,audio_features,588TIiNqDWazxZcxe2hRIE,spotify:track:588TIiNqDWazxZcxe2hRIE,https://api.spotify.com/v1/tracks/588TIiNqDWazxZcxe2hRIE,https://api.spotify.com/v1/audio-analysis/588TIiNqDWazxZcxe2hRIE,259397,4,energetic
1,0.733,0.718,4,-7.149,0,0.0376,0.0107,0.0102,0.33,0.206,122.993,audio_features,52Y5nYBQgqawttJxxtUv1e,spotify:track:52Y5nYBQgqawttJxxtUv1e,https://api.spotify.com/v1/tracks/52Y5nYBQgqawttJxxtUv1e,https://api.spotify.com/v1/audio-analysis/52Y5nYBQgqawttJxxtUv1e,176098,4,energetic
2,0.468,0.83,8,-3.301,1,0.0727,0.000187,0.0,0.0875,0.162,126.835,audio_features,16QhpULFOW9fE2yvXsJV6A,spotify:track:16QhpULFOW9fE2yvXsJV6A,https://api.spotify.com/v1/tracks/16QhpULFOW9fE2yvXsJV6A,https://api.spotify.com/v1/audio-analysis/16QhpULFOW9fE2yvXsJV6A,180000,4,energetic
3,0.572,0.915,5,-4.451,0,0.0625,0.0111,0.0,0.339,0.678,123.919,audio_features,3eLdNmnRWr9gIyBcqTSSti,spotify:track:3eLdNmnRWr9gIyBcqTSSti,https://api.spotify.com/v1/tracks/3eLdNmnRWr9gIyBcqTSSti,https://api.spotify.com/v1/audio-analysis/3eLdNmnRWr9gIyBcqTSSti,164516,4,energetic
4,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,audio_features,6e2kwYm4qe4hFbOkLm4nbF,spotify:track:6e2kwYm4qe4hFbOkLm4nbF,https://api.spotify.com/v1/tracks/6e2kwYm4qe4hFbOkLm4nbF,https://api.spotify.com/v1/audio-analysis/6e2kwYm4qe4hFbOkLm4nbF,169600,4,energetic
5,0.603,0.885,5,-1.26,0,0.0483,0.0787,0.0939,0.0686,0.302,149.956,audio_features,3DLvDnN0C8pAHpCZK0H9kK,spotify:track:3DLvDnN0C8pAHpCZK0H9kK,https://api.spotify.com/v1/tracks/3DLvDnN0C8pAHpCZK0H9kK,https://api.spotify.com/v1/audio-analysis/3DLvDnN0C8pAHpCZK0H9kK,268800,4,energetic
6,0.516,0.981,8,-2.983,0,0.0782,0.00132,0.0949,0.192,0.545,160.127,audio_features,4nq3CzOHpNlzf1297h4bdB,spotify:track:4nq3CzOHpNlzf1297h4bdB,https://api.spotify.com/v1/tracks/4nq3CzOHpNlzf1297h4bdB,https://api.spotify.com/v1/audio-analysis/4nq3CzOHpNlzf1297h4bdB,205500,4,energetic
7,0.601,0.905,8,-5.044,1,0.158,0.369,0.000113,0.163,0.442,81.956,audio_features,6bjW9EsRPP9n7cMHxAe9nv,spotify:track:6bjW9EsRPP9n7cMHxAe9nv,https://api.spotify.com/v1/tracks/6bjW9EsRPP9n7cMHxAe9nv,https://api.spotify.com/v1/audio-analysis/6bjW9EsRPP9n7cMHxAe9nv,203360,4,energetic
8,0.806,0.599,9,-7.049,1,0.0605,0.000537,0.934,0.107,0.735,128.002,audio_features,12DV0YPbTgPaogo6gSHOQQ,spotify:track:12DV0YPbTgPaogo6gSHOQQ,https://api.spotify.com/v1/tracks/12DV0YPbTgPaogo6gSHOQQ,https://api.spotify.com/v1/audio-analysis/12DV0YPbTgPaogo6gSHOQQ,173202,4,energetic
9,0.517,0.725,1,-3.038,1,0.0428,0.305,0.242,0.087,0.161,140.229,audio_features,1sR0NZ42EGY6bW2lidiC45,spotify:track:1sR0NZ42EGY6bW2lidiC45,https://api.spotify.com/v1/tracks/1sR0NZ42EGY6bW2lidiC45,https://api.spotify.com/v1/audio-analysis/1sR0NZ42EGY6bW2lidiC45,205845,3,energetic
10,0.529,0.995,7,-0.503,1,0.0931,0.00428,0.179,0.41,0.268,149.987,audio_features,7Giip1UJawrbpp4HqzFBFY,spotify:track:7Giip1UJawrbpp4HqzFBFY,https://api.spotify.com/v1/tracks/7Giip1UJawrbpp4HqzFBFY,https://api.spotify.com/v1/audio-analysis/7Giip1UJawrbpp4HqzFBFY,299318,4,energetic
11,0.663,0.846,8,-4.015,0,0.0801,0.192,0.0,0.173,0.59,123.993,audio_features,6YnkswUQX2GXOhywMsBDqp,spotify:track:6YnkswUQX2GXOhywMsBDqp,https://api.spotify.com/v1/tracks/6YnkswUQX2GXOhywMsBDqp,https://api.spotify.com/v1/audio-analysis/6YnkswUQX2GXOhywMsBDqp,185813,4,energetic
12,0.578,0.635,8,-6.676,1,0.0508,0.119,0.0381,0.0657,0.487,79.999,audio_features,7qfUtR9mhwE3Eijc35SH9c,spotify:track:7qfUtR9mhwE3Eijc35SH9c,https://api.spotify.com/v1/tracks/7qfUtR9mhwE3Eijc35SH9c,https://api.spotify.com/v1/audio-analysis/7qfUtR9mhwE3Eijc35SH9c,227482,4,energetic
13,0.708,0.926,8,-2.881,1,0.276,0.0526,0.0261,0.325,0.41,74.985,audio_features,5iA3mtmjnwWLHLwKhFiGct,spotify:track:5iA3mtmjnwWLHLwKhFiGct,https://api.spotify.com/v1/tracks/5iA3mtmjnwWLHLwKhFiGct,https://api.spotify.com/v1/audio-analysis/5iA3mtmjnwWLHLwKhFiGct,149725,4,energetic
14,0.624,0.782,5,-5.642,1,0.111,0.0462,0.00653,0.355,0.503,160.04,audio_features,4zqJQSBQ0CzWn7ZF9P7ohk,spotify:track:4zqJQSBQ0CzWn7ZF9P7ohk,https://api.spotify.com/v1/tracks/4zqJQSBQ0CzWn7ZF9P7ohk,https://api.spotify.com/v1/audio-analysis/4zqJQSBQ0CzWn7ZF9P7ohk,258000,4,energetic
15,0.712,0.87,2,-4.047,1,0.211,0.000791,0.000899,0.485,0.155,159.992,audio_features,4kVcwZlhWH2idgqLHeY6GZ,spotify:track:4kVcwZlhWH2idgqLHeY6GZ,https://api.spotify.com/v1/tracks/4kVcwZlhWH2idgqLHeY6GZ,https://api.spotify.com/v1/audio-analysis/4kVcwZlhWH2idgqLHeY6GZ,223003,4,energetic
