,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.693,0.866,5,-4.964,0,0.0498,0.0689,0.0,0.145,0.663,126.002,audio_features,1ohLQfIwj9NUN7e5UKeDl9,spotify:track:1ohLQfIwj9NUN7e5UKeDl9,https://api.spotify.com/v1/tracks/1ohLQfIwj9NUN7e5UKeDl9,https://api.spotify.com/v1/audio-analysis/1ohLQfIwj9NUN7e5UKeDl9,124778,4,energetic
1,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,audio_features,5YaskwnGDZFDRipaqzbwQx,spotify:track:5YaskwnGDZFDRipaqzbwQx,https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,150053,4,energetic
2,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,audio_features,4cG7HUWYHBV6R6tHn1gxrl,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,https://api.spotify.com/v1/tracks/4cG7HUWYHBV6R6tHn1gxrl,https://api.spotify.com/v1/audio-analysis/4cG7HUWYHBV6R6tHn1gxrl,169153,4,energetic
3,0.733,0.718,4,-7.149,0,0.0376,0.0107,0.0102,0.33,0.206,122.993,audio_features,52Y5nYBQgqawttJxxtUv1e,spotify:track:52Y5nYBQgqawttJxxtUv1e,https://api.spotify.com/v1/tracks/52Y5nYBQgqawttJxxtUv1e,https://api.spotify.com/v1/audio-analysis/52Y5nYBQgqawttJxxtUv1e,176098,4,energetic
4,0.697,0.81,6,-5.128,0,0.0669,0.0424,0.000233,0.322,0.558,125.979,audio_features,5WYB4aZkflwjAApBoDCYkz,spotify:track:5WYB4aZkflwjAApBoDCYkz,https://api.spotify.com/v1/tracks/5WYB4aZkflwjAApBoDCYkz,https://api.spotify.com/v1/audio-analysis/5WYB4aZkflwjAApBoDCYkz,156888,4,energetic
5,0.648,0.927,1,-3.633,1,0.049,0.011,0.0,0.162,0.361,126.037,audio_features,46lyJh9GYmWsHez3EsvmAx,spotify:track:46lyJh9GYmWsHez3EsvmAx,https://api.spotify.com/v1/tracks/46lyJh9GYmWsHez3EsvmAx,https://api.spotify.com/v1/audio-analysis/46lyJh9GYmWsHez3EsvmAx,182000,4,energetic
6,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,audio_features,0b18g3G5spr4ZCkz7Y6Q0Q,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,186210,4,energetic
7,0.767,0.816,7,-4.25,1,0.035,0.0239,2.68e-06,0.157,0.434,125.031,audio_features,0uIwEMEjZDGrZ3NvxK3T9F,spotify:track:0uIwEMEjZDGrZ3NvxK3T9F,https://api.spotify.com/v1/tracks/0uIwEMEjZDGrZ3NvxK3T9F,https://api.spotify.com/v1/audio-analysis/0uIwEMEjZDGrZ3NvxK3T9F,138819,4,energetic
8,0.735,0.915,0,-5.082,0,0.0475,0.0456,0.000152,0.238,0.615,124.007,audio_features,0P5lXk4fg0682IgDyK7GFM,spotify:track:0P5lXk4fg0682IgDyK7GFM,https://api.spotify.com/v1/tracks/0P5lXk4fg0682IgDyK7GFM,https://api.spotify.com/v1/audio-analysis/0P5lXk4fg0682IgDyK7GFM,150000,4,energetic
9,0.729,0.914,10,-3.31,0,0.0624,0.016,0.44,0.0527,0.355,124.027,audio_features,1evWpIlEfSZnXtHtpILB6b,spotify:track:1evWpIlEfSZnXtHtpILB6b,https://api.spotify.com/v1/tracks/1evWpIlEfSZnXtHtpILB6b,https://api.spotify.com/v1/audio-analysis/1evWpIlEfSZnXtHtpILB6b,128563,4,energetic
