,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.511,0.97,10,-3.72,1,0.0414,5.6e-06,0.00136,0.18,0.566,132.986,audio_features,2R6UrJ8uWbSIiHWmvRQvN8,spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,https://api.spotify.com/v1/tracks/2R6UrJ8uWbSIiHWmvRQvN8,https://api.spotify.com/v1/audio-analysis/2R6UrJ8uWbSIiHWmvRQvN8,304693,4,energetic
1,0.503,0.96,10,-2.672,1,0.0626,9.25e-05,0.578,0.274,0.489,162.022,audio_features,1wXuogT7bvqnhuWzDBNOdV,spotify:track:1wXuogT7bvqnhuWzDBNOdV,https://api.spotify.com/v1/tracks/1wXuogT7bvqnhuWzDBNOdV,https://api.spotify.com/v1/audio-analysis/1wXuogT7bvqnhuWzDBNOdV,218040,4,energetic
2,0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,6ZtrGCcn38kGImt2GPFbJB,spotify:track:6ZtrGCcn38kGImt2GPFbJB,https://api.spotify.com/v1/tracks/6ZtrGCcn38kGImt2GPFbJB,https://api.spotify.com/v1/audio-analysis/6ZtrGCcn38kGImt2GPFbJB,185133,4,energetic
3,0.42,0.885,8,-6.844,1,0.08,9.55e-05,0.571,0.0949,0.447,135.12,audio_features,1mBRN0eaAD1ht81z02hf69,spotify:track:1mBRN0eaAD1ht81z02hf69,https://api.spotify.com/v1/tracks/1mBRN0eaAD1ht81z02hf69,https://api.spotify.com/v1/audio-analysis/1mBRN0eaAD1ht81z02hf69,287721,4,energetic
4,0.495,0.948,9,-3.295,0,0.0527,9.8e-06,1.94e-06,0.0891,0.418,90.021,audio_features,4iTlGw3WqMzBpQslxNZo4D,spotify:track:4iTlGw3WqMzBpQslxNZo4D,https://api.spotify.com/v1/tracks/4iTlGw3WqMzBpQslxNZo4D,https://api.spotify.com/v1/audio-analysis/4iTlGw3WqMzBpQslxNZo4D,223667,4,energetic
5,0.402,0.873,4,-3.209,0,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,audio_features,2fICdpdRotwfmGYzvs8Ngf,spotify:track:2fICdpdRotwfmGYzvs8Ngf,https://api.spotify.com/v1/tracks/2fICdpdRotwfmGYzvs8Ngf,https://api.spotify.com/v1/audio-analysis/2fICdpdRotwfmGYzvs8Ngf,253667,4,energetic
6,0.625,0.928,1,-3.054,1,0.0316,9.86e-05,0.00207,0.0937,0.456,98.025,audio_features,71si6qnqug1pf2qHgRxMDV,spotify:track:71si6qnqug1pf2qHgRxMDV,https://api.spotify.com/v1/tracks/71si6qnqug1pf2qHgRxMDV,https://api.spotify.com/v1/audio-analysis/71si6qnqug1pf2qHgRxMDV,235672,4,energetic
7,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,audio_features,7GonnnalI2s19OCQO1J7Tf,spotify:track:7GonnnalI2s19OCQO1J7Tf,https://api.spotify.com/v1/tracks/7GonnnalI2s19OCQO1J7Tf,https://api.spotify.com/v1/audio-analysis/7GonnnalI2s19OCQO1J7Tf,282653,4,energetic
8,0.305,0.864,0,-4.772,1,0.0516,5.35e-06,0.0,0.344,0.322,141.994,audio_features,5DkwgbwtvFzj7ITGkaSGxS,spotify:track:5DkwgbwtvFzj7ITGkaSGxS,https://api.spotify.com/v1/tracks/5DkwgbwtvFzj7ITGkaSGxS,https://api.spotify.com/v1/audio-analysis/5DkwgbwtvFzj7ITGkaSGxS,203520,4,energetic
9,0.439,0.975,1,-3.798,1,0.131,0.000105,8.59e-05,0.228,0.636,172.019,audio_features,0eeH8SFeeaIv0lQz61cyL2,spotify:track:0eeH8SFeeaIv0lQz61cyL2,https://api.spotify.com/v1/tracks/0eeH8SFeeaIv0lQz61cyL2,https://api.spotify.com/v1/audio-analysis/0eeH8SFeeaIv0lQz61cyL2,246827,4,energetic
10,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4,energetic
11,0.455,0.79,7,-4.049,1,0.0432,3.78e-06,0.00021,0.0866,0.22,125.964,audio_features,3mjSvzk1uqa9k8QxNy36mU,spotify:track:3mjSvzk1uqa9k8QxNy36mU,https://api.spotify.com/v1/tracks/3mjSvzk1uqa9k8QxNy36mU,https://api.spotify.com/v1/audio-analysis/3mjSvzk1uqa9k8QxNy36mU,217467,4,energetic
12,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4,energetic
13,0.486,0.973,7,-3.541,1,0.0788,1.01e-05,0.783,0.133,0.278,108.731,audio_features,4Zpdzl3FTUaS2p7Ey0Y92p,spotify:track:4Zpdzl3FTUaS2p7Ey0Y92p,https://api.spotify.com/v1/tracks/4Zpdzl3FTUaS2p7Ey0Y92p,https://api.spotify.com/v1/audio-analysis/4Zpdzl3FTUaS2p7Ey0Y92p,294118,3,energetic
14,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,audio_features,1jzDzZWeSDBg5fhNc3tczV,spotify:track:1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,168440,4,energetic
15,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,audio_features,6EPRKhUOdiFSQwGBRBbvsZ,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/tracks/6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/audio-analysis/6EPRKhUOdiFSQwGBRBbvsZ,166920,4,energetic
16,0.55,0.916,8,-4.216,1,0.103,0.000889,1.06e-06,0.0669,0.706,144.95,audio_features,7kJWJ60v9SRrOxLzd1JhxL,spotify:track:7kJWJ60v9SRrOxLzd1JhxL,https://api.spotify.com/v1/tracks/7kJWJ60v9SRrOxLzd1JhxL,https://api.spotify.com/v1/audio-analysis/7kJWJ60v9SRrOxLzd1JhxL,263157,4,energetic
