,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.8,0.606,8,-6.746,0,0.0498,0.106,3.79e-06,0.112,0.404,105.018,audio_features,1kuxCYa18CRbrA4vuF2iM3,spotify:track:1kuxCYa18CRbrA4vuF2iM3,https://api.spotify.com/v1/tracks/1kuxCYa18CRbrA4vuF2iM3,https://api.spotify.com/v1/audio-analysis/1kuxCYa18CRbrA4vuF2iM3,185143,4,happy
1,0.611,0.835,6,-4.107,1,0.139,0.167,0.0,0.107,0.672,102.023,audio_features,6PqUdUGS4h5aGY7YyEGXr8,spotify:track:6PqUdUGS4h5aGY7YyEGXr8,https://api.spotify.com/v1/tracks/6PqUdUGS4h5aGY7YyEGXr8,https://api.spotify.com/v1/audio-analysis/6PqUdUGS4h5aGY7YyEGXr8,179457,4,happy
2,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,6WrI0LAC5M1Rw2MnX2ZvEg,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/tracks/6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,183290,4,happy
3,0.686,0.817,2,-6.035,1,0.046,0.265,0.000186,0.415,0.474,121.996,audio_features,4MFJja8C5DQGWstBew2BUC,spotify:track:4MFJja8C5DQGWstBew2BUC,https://api.spotify.com/v1/tracks/4MFJja8C5DQGWstBew2BUC,https://api.spotify.com/v1/audio-analysis/4MFJja8C5DQGWstBew2BUC,182521,4,happy
4,0.938,0.713,8,-7.757,0,0.15,0.364,0.000352,0.137,0.559,119.979,audio_features,2n64LKXEAzaSTzFpjckJh5,spotify:track:2n64LKXEAzaSTzFpjckJh5,https://api.spotify.com/v1/tracks/2n64LKXEAzaSTzFpjckJh5,https://api.spotify.com/v1/audio-analysis/2n64LKXEAzaSTzFpjckJh5,218655,4,happy
5,0.534,0.551,5,-5.698,0,0.256,0.314,0.0,0.177,0.428,77.285,audio_features,7DmZMqXYgQ1oI3z3bGUEbi,spotify:track:7DmZMqXYgQ1oI3z3bGUEbi,https://api.spotify.com/v1/tracks/7DmZMqXYgQ1oI3z3bGUEbi,https://api.spotify.com/v1/audio-analysis/7DmZMqXYgQ1oI3z3bGUEbi,157990,3,happy
6,0.767,0.451,6,-12.708,0,0.12,0.044,0.0576,0.434,0.218,120.0,audio_features,4A9YYCLjmCKI7rvfvZW1CX,spotify:track:4A9YYCLjmCKI7rvfvZW1CX,https://api.spotify.com/v1/tracks/4A9YYCLjmCKI7rvfvZW1CX,https://api.spotify.com/v1/audio-analysis/4A9YYCLjmCKI7rvfvZW1CX,172566,4,happy
7,0.598,0.59,8,-6.814,1,0.197,0.542,0.00501,0.116,0.379,183.902,audio_features,44Tqz3WHl7ylDQ27DvaXkR,spotify:track:44Tqz3WHl7ylDQ27DvaXkR,https://api.spotify.com/v1/tracks/44Tqz3WHl7ylDQ27DvaXkR,https://api.spotify.com/v1/audio-analysis/44Tqz3WHl7ylDQ27DvaXkR,183691,4,happy
8,0.655,0.684,0,-5.18,1,0.0269,0.197,0.0036,0.278,0.27,110.037,audio_features,4nraNqonMyfc0U3o8VeXVu,spotify:track:4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/tracks/4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/audio-analysis/4nraNqonMyfc0U3o8VeXVu,174002,4,happy
9,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4,happy
