,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.679,0.684,5,-4.495,0,0.0688,0.0149,0.0,0.0873,0.821,80.49,audio_features,3JoQRs8V7dq38TUEbzgTGk,spotify:track:3JoQRs8V7dq38TUEbzgTGk,https://api.spotify.com/v1/tracks/3JoQRs8V7dq38TUEbzgTGk,https://api.spotify.com/v1/audio-analysis/3JoQRs8V7dq38TUEbzgTGk,189893,4,happy
1,0.725,0.641,1,-4.862,0,0.0517,0.0431,0.0,0.314,0.782,98.023,audio_features,2KpWmfFngrY4ZGTtdCQ6wW,spotify:track:2KpWmfFngrY4ZGTtdCQ6wW,https://api.spotify.com/v1/tracks/2KpWmfFngrY4ZGTtdCQ6wW,https://api.spotify.com/v1/audio-analysis/2KpWmfFngrY4ZGTtdCQ6wW,178194,4,happy
2,0.476,0.776,7,-6.95,1,0.173,0.00155,0.0,0.464,0.247,139.969,audio_features,022KUgS0Q5c3MTePafMLai,spotify:track:022KUgS0Q5c3MTePafMLai,https://api.spotify.com/v1/tracks/022KUgS0Q5c3MTePafMLai,https://api.spotify.com/v1/audio-analysis/022KUgS0Q5c3MTePafMLai,213123,4,happy
3,0.686,0.693,0,-6.245,0,0.131,0.329,0.0,0.136,0.699,124.206,audio_features,5EKiBMhzRLALeGDPdoAKkQ,spotify:track:5EKiBMhzRLALeGDPdoAKkQ,https://api.spotify.com/v1/tracks/5EKiBMhzRLALeGDPdoAKkQ,https://api.spotify.com/v1/audio-analysis/5EKiBMhzRLALeGDPdoAKkQ,197876,4,happy
4,0.756,0.54,6,-5.456,1,0.125,0.155,0.0,0.0551,0.642,108.274,audio_features,7xPIlYAQvOubFllPkn8XSL,spotify:track:7xPIlYAQvOubFllPkn8XSL,https://api.spotify.com/v1/tracks/7xPIlYAQvOubFllPkn8XSL,https://api.spotify.com/v1/audio-analysis/7xPIlYAQvOubFllPkn8XSL,184800,4,happy
5,0.603,0.649,11,-5.848,1,0.0476,0.0105,0.0,0.243,0.672,124.073,audio_features,3nVJ4tGeLFR6HUiz3e7qAe,spotify:track:3nVJ4tGeLFR6HUiz3e7qAe,https://api.spotify.com/v1/tracks/3nVJ4tGeLFR6HUiz3e7qAe,https://api.spotify.com/v1/audio-analysis/3nVJ4tGeLFR6HUiz3e7qAe,177209,4,happy
6,0.482,0.807,10,-4.846,1,0.0453,0.142,0.0,0.114,0.331,127.999,audio_features,4SvgYftkBSTZJYleSA3psb,spotify:track:4SvgYftkBSTZJYleSA3psb,https://api.spotify.com/v1/tracks/4SvgYftkBSTZJYleSA3psb,https://api.spotify.com/v1/audio-analysis/4SvgYftkBSTZJYleSA3psb,202909,4,happy
7,0.761,0.636,7,-4.424,1,0.0314,0.298,0.0,0.161,0.718,100.014,audio_features,6Bi4RjKB9pV8yNuexgtCky,spotify:track:6Bi4RjKB9pV8yNuexgtCky,https://api.spotify.com/v1/tracks/6Bi4RjKB9pV8yNuexgtCky,https://api.spotify.com/v1/audio-analysis/6Bi4RjKB9pV8yNuexgtCky,185787,4,happy
8,0.554,0.786,9,-4.288,1,0.0491,0.0024,0.0,0.148,0.358,120.057,audio_features,67H8U1DqJMTv9vCg7P95uR,spotify:track:67H8U1DqJMTv9vCg7P95uR,https://api.spotify.com/v1/tracks/67H8U1DqJMTv9vCg7P95uR,https://api.spotify.com/v1/audio-analysis/67H8U1DqJMTv9vCg7P95uR,224064,4,happy
9,0.713,0.635,8,-5.263,1,0.0364,0.018,0.0,0.336,0.803,116.055,audio_features,4KMiZnTut79zX0tvh3xHjW,spotify:track:4KMiZnTut79zX0tvh3xHjW,https://api.spotify.com/v1/tracks/4KMiZnTut79zX0tvh3xHjW,https://api.spotify.com/v1/audio-analysis/4KMiZnTut79zX0tvh3xHjW,197155,4,happy
