,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.74,0.604,7,-6.784,1,0.0379,0.372,0.0,0.0829,0.602,101.925,audio_features,3yraHvsUkmnJjGhOrx1CSg,spotify:track:3yraHvsUkmnJjGhOrx1CSg,https://api.spotify.com/v1/tracks/3yraHvsUkmnJjGhOrx1CSg,https://api.spotify.com/v1/audio-analysis/3yraHvsUkmnJjGhOrx1CSg,207733,4,happy
1,0.619,0.82,0,-8.016,1,0.0309,0.0282,0.0,0.302,0.838,111.01,audio_features,7IyXO4OsPqqmB0v1ebT9Ok,spotify:track:7IyXO4OsPqqmB0v1ebT9Ok,https://api.spotify.com/v1/tracks/7IyXO4OsPqqmB0v1ebT9Ok,https://api.spotify.com/v1/audio-analysis/7IyXO4OsPqqmB0v1ebT9Ok,262893,4,happy
2,0.559,0.922,6,-4.597,1,0.0504,0.00834,0.0,0.356,0.638,145.0,audio_features,6lAqwGwFzQ44SrODqr0NmQ,spotify:track:6lAqwGwFzQ44SrODqr0NmQ,https://api.spotify.com/v1/tracks/6lAqwGwFzQ44SrODqr0NmQ,https://api.spotify.com/v1/audio-analysis/6lAqwGwFzQ44SrODqr0NmQ,180133,4,happy
3,0.537,0.857,0,-5.791,1,0.0257,0.114,0.0,0.724,0.747,103.989,audio_features,384JA8UkGvHNlbzR4gyxEq,spotify:track:384JA8UkGvHNlbzR4gyxEq,https://api.spotify.com/v1/tracks/384JA8UkGvHNlbzR4gyxEq,https://api.spotify.com/v1/audio-analysis/384JA8UkGvHNlbzR4gyxEq,177120,4,happy
4,0.67,0.643,6,-7.198,0,0.0286,0.221,1.58e-05,0.142,0.893,129.013,audio_features,1dCaSvUR92UgJZwmNxnqZV,spotify:track:1dCaSvUR92UgJZwmNxnqZV,https://api.spotify.com/v1/tracks/1dCaSvUR92UgJZwmNxnqZV,https://api.spotify.com/v1/audio-analysis/1dCaSvUR92UgJZwmNxnqZV,223267,4,happy
5,0.751,0.549,5,-7.798,0,0.106,0.221,0.0,0.112,0.735,106.01,audio_features,1Fc6lVQFPOcEVz3QWEzXWL,spotify:track:1Fc6lVQFPOcEVz3QWEzXWL,https://api.spotify.com/v1/tracks/1Fc6lVQFPOcEVz3QWEzXWL,https://api.spotify.com/v1/audio-analysis/1Fc6lVQFPOcEVz3QWEzXWL,170992,4,happy
6,0.353,0.869,5,-6.519,1,0.205,0.329,0.000533,0.231,0.273,140.504,audio_features,3isUhqgO9KBLLP4fJ4oESl,spotify:track:3isUhqgO9KBLLP4fJ4oESl,https://api.spotify.com/v1/tracks/3isUhqgO9KBLLP4fJ4oESl,https://api.spotify.com/v1/audio-analysis/3isUhqgO9KBLLP4fJ4oESl,468733,4,happy
7,0.672,0.803,4,-4.693,1,0.0285,0.00753,0.0,0.0597,0.794,136.007,audio_features,5zhee6Apgg8QqeJObO4k1d,spotify:track:5zhee6Apgg8QqeJObO4k1d,https://api.spotify.com/v1/tracks/5zhee6Apgg8QqeJObO4k1d,https://api.spotify.com/v1/audio-analysis/5zhee6Apgg8QqeJObO4k1d,210733,4,happy
8,0.553,0.406,9,-10.498,1,0.028,0.0524,0.686,0.125,0.231,108.713,audio_features,1NXHwS75sCmkMZAE0zvwl0,spotify:track:1NXHwS75sCmkMZAE0zvwl0,https://api.spotify.com/v1/tracks/1NXHwS75sCmkMZAE0zvwl0,https://api.spotify.com/v1/audio-analysis/1NXHwS75sCmkMZAE0zvwl0,242535,4,happy
9,0.638,0.444,7,-14.221,1,0.196,0.127,0.0,0.0905,0.151,173.707,audio_features,2rzZ0IGxgrGUAPwrWn80z7,spotify:track:2rzZ0IGxgrGUAPwrWn80z7,https://api.spotify.com/v1/tracks/2rzZ0IGxgrGUAPwrWn80z7,https://api.spotify.com/v1/audio-analysis/2rzZ0IGxgrGUAPwrWn80z7,153527,4,happy
10,0.635,0.808,9,-5.026,1,0.0262,0.0973,0.0,0.141,0.726,131.377,audio_features,1qv9TWDpXh50DPLgWD4bnH,spotify:track:1qv9TWDpXh50DPLgWD4bnH,https://api.spotify.com/v1/tracks/1qv9TWDpXh50DPLgWD4bnH,https://api.spotify.com/v1/audio-analysis/1qv9TWDpXh50DPLgWD4bnH,218467,4,happy
11,0.669,0.406,5,-12.186,1,0.0501,0.646,1.27e-05,0.112,0.362,92.964,audio_features,5ZVYh2tB5Ko3aCkwkJguZe,spotify:track:5ZVYh2tB5Ko3aCkwkJguZe,https://api.spotify.com/v1/tracks/5ZVYh2tB5Ko3aCkwkJguZe,https://api.spotify.com/v1/audio-analysis/5ZVYh2tB5Ko3aCkwkJguZe,215269,4,happy
12,0.641,0.806,8,-6.281,1,0.0323,0.079,0.00158,0.0708,0.721,125.987,audio_features,3h1in20DlO5KaSP1vLED90,spotify:track:3h1in20DlO5KaSP1vLED90,https://api.spotify.com/v1/tracks/3h1in20DlO5KaSP1vLED90,https://api.spotify.com/v1/audio-analysis/3h1in20DlO5KaSP1vLED90,176653,4,happy
13,0.639,0.492,5,-8.497,1,0.0288,0.78,0.0,0.117,0.666,87.033,audio_features,7kMPC3vgXk3o9xUP3GWAJ0,spotify:track:7kMPC3vgXk3o9xUP3GWAJ0,https://api.spotify.com/v1/tracks/7kMPC3vgXk3o9xUP3GWAJ0,https://api.spotify.com/v1/audio-analysis/7kMPC3vgXk3o9xUP3GWAJ0,227907,4,happy
14,0.686,0.86,4,-3.358,1,0.0517,0.0597,0.0,0.19,0.417,130.027,audio_features,5cYOVkA2cnjKid9yigaMwq,spotify:track:5cYOVkA2cnjKid9yigaMwq,https://api.spotify.com/v1/tracks/5cYOVkA2cnjKid9yigaMwq,https://api.spotify.com/v1/audio-analysis/5cYOVkA2cnjKid9yigaMwq,252923,4,happy
15,0.797,0.679,6,-9.645,0,0.0758,0.383,2.31e-05,0.0677,0.96,119.832,audio_features,7vdCyoiMaAaC3cVXqrtXNj,spotify:track:7vdCyoiMaAaC3cVXqrtXNj,https://api.spotify.com/v1/tracks/7vdCyoiMaAaC3cVXqrtXNj,https://api.spotify.com/v1/audio-analysis/7vdCyoiMaAaC3cVXqrtXNj,254160,4,happy
16,0.759,0.871,0,-7.034,1,0.0391,0.0687,0.0,0.342,0.871,120.43,audio_features,0ZvLrvwzp0nBkfmtzL7XO1,spotify:track:0ZvLrvwzp0nBkfmtzL7XO1,https://api.spotify.com/v1/tracks/0ZvLrvwzp0nBkfmtzL7XO1,https://api.spotify.com/v1/audio-analysis/0ZvLrvwzp0nBkfmtzL7XO1,224333,4,happy
17,0.698,0.844,1,-4.789,1,0.0544,0.00253,0.000426,0.124,0.896,105.828,audio_features,4BfRDZLIiznSnwU7DdDL9N,spotify:track:4BfRDZLIiznSnwU7DdDL9N,https://api.spotify.com/v1/tracks/4BfRDZLIiznSnwU7DdDL9N,https://api.spotify.com/v1/audio-analysis/4BfRDZLIiznSnwU7DdDL9N,219413,4,happy
18,0.679,0.553,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,audio_features,064SVQsmWl5EF0zahmzkQk,spotify:track:064SVQsmWl5EF0zahmzkQk,https://api.spotify.com/v1/tracks/064SVQsmWl5EF0zahmzkQk,https://api.spotify.com/v1/audio-analysis/064SVQsmWl5EF0zahmzkQk,198760,4,happy
19,0.662,0.66,0,-5.649,0,0.0448,0.384,0.0,0.166,0.526,96.991,audio_features,4BIS9PtQ3zf5IWYpWZxzjb,spotify:track:4BIS9PtQ3zf5IWYpWZxzjb,https://api.spotify.com/v1/tracks/4BIS9PtQ3zf5IWYpWZxzjb,https://api.spotify.com/v1/audio-analysis/4BIS9PtQ3zf5IWYpWZxzjb,203517,4,happy
20,0.879,0.693,11,-10.577,1,0.046,0.037,0.119,0.18,0.966,133.231,audio_features,5HiKQLlJ3LAuz8J9yHB0HX,spotify:track:5HiKQLlJ3LAuz8J9yHB0HX,https://api.spotify.com/v1/tracks/5HiKQLlJ3LAuz8J9yHB0HX,https://api.spotify.com/v1/audio-analysis/5HiKQLlJ3LAuz8J9yHB0HX,230573,4,happy
