,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95,audio_features,140XpWSdJ0jZEbLj9iVnPA,spotify:track:140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/tracks/140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/audio-analysis/140XpWSdJ0jZEbLj9iVnPA,161944,4,happy
1,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983,audio_features,0DmAvNCAK08oCi7miSZUIY,spotify:track:0DmAvNCAK08oCi7miSZUIY,https://api.spotify.com/v1/tracks/0DmAvNCAK08oCi7miSZUIY,https://api.spotify.com/v1/audio-analysis/0DmAvNCAK08oCi7miSZUIY,218359,4,happy
2,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,audio_features,5ri4zqtWhG07hIuNNDWP76,spotify:track:5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/tracks/5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/audio-analysis/5ri4zqtWhG07hIuNNDWP76,178157,4,happy
3,0.558,0.877,10,-3.392,1,0.145,0.274,0.0,0.162,0.762,99.988,audio_features,53kWAAfx7IopXRa31MQHB8,spotify:track:53kWAAfx7IopXRa31MQHB8,https://api.spotify.com/v1/tracks/53kWAAfx7IopXRa31MQHB8,https://api.spotify.com/v1/audio-analysis/53kWAAfx7IopXRa31MQHB8,170280,4,happy
4,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,audio_features,31qCy5ZaophVA81wtlwLc4,spotify:track:31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/tracks/31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/audio-analysis/31qCy5ZaophVA81wtlwLc4,190779,4,happy
5,0.794,0.706,5,-6.066,0,0.0382,0.198,0.0,0.0536,0.908,116.032,audio_features,7jqXDgGWkV4w2ctdb2g59o,spotify:track:7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/tracks/7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/audio-analysis/7jqXDgGWkV4w2ctdb2g59o,170614,4,happy
6,0.659,0.617,11,-5.862,0,0.0649,0.27,0.0,0.187,0.187,119.858,audio_features,5ow0sNF1zSqp71Ix5jEXWU,spotify:track:5ow0sNF1zSqp71Ix5jEXWU,https://api.spotify.com/v1/tracks/5ow0sNF1zSqp71Ix5jEXWU,https://api.spotify.com/v1/audio-analysis/5ow0sNF1zSqp71Ix5jEXWU,164010,4,happy
7,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,audio_features,2UbVnbE5FH6008mAm6Mmgw,spotify:track:2UbVnbE5FH6008mAm6Mmgw,https://api.spotify.com/v1/tracks/2UbVnbE5FH6008mAm6Mmgw,https://api.spotify.com/v1/audio-analysis/2UbVnbE5FH6008mAm6Mmgw,169011,4,happy
8,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,audio_features,5id3Rqn7SPj1LX4FfY4nGz,spotify:track:5id3Rqn7SPj1LX4FfY4nGz,https://api.spotify.com/v1/tracks/5id3Rqn7SPj1LX4FfY4nGz,https://api.spotify.com/v1/audio-analysis/5id3Rqn7SPj1LX4FfY4nGz,205208,4,happy
9,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,audio_features,2wenGTypSYHXl1sN1pNC7X,spotify:track:2wenGTypSYHXl1sN1pNC7X,https://api.spotify.com/v1/tracks/2wenGTypSYHXl1sN1pNC7X,https://api.spotify.com/v1/audio-analysis/2wenGTypSYHXl1sN1pNC7X,193548,4,happy
