,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,95.002,audio_features,6OcCk1dbAb7XNHsC098oEM,spotify:track:6OcCk1dbAb7XNHsC098oEM,https://api.spotify.com/v1/tracks/6OcCk1dbAb7XNHsC098oEM,https://api.spotify.com/v1/audio-analysis/6OcCk1dbAb7XNHsC098oEM,171200,4,sad
1,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,audio_features,7F1CiKqrY44kh5cDqwHOnx,spotify:track:7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/tracks/7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/audio-analysis/7F1CiKqrY44kh5cDqwHOnx,176972,4,sad
2,0.508,0.404,10,-11.092,1,0.0788,0.664,0.0,0.104,0.129,81.713,audio_features,6c7N5N7amAOpeMykjlovjI,spotify:track:6c7N5N7amAOpeMykjlovjI,https://api.spotify.com/v1/tracks/6c7N5N7amAOpeMykjlovjI,https://api.spotify.com/v1/audio-analysis/6c7N5N7amAOpeMykjlovjI,216865,4,sad
3,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,audio_features,2TOzTqQXNmR2zDJXihjZ2e,spotify:track:2TOzTqQXNmR2zDJXihjZ2e,https://api.spotify.com/v1/tracks/2TOzTqQXNmR2zDJXihjZ2e,https://api.spotify.com/v1/audio-analysis/2TOzTqQXNmR2zDJXihjZ2e,202827,4,sad
4,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,audio_features,0KmgJyW4GDgonqsoyx0CZ3,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/tracks/0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/audio-analysis/0KmgJyW4GDgonqsoyx0CZ3,243907,3,sad
5,0.504,0.352,1,-11.99,1,0.0615,0.518,0.0,0.105,0.229,83.259,audio_features,0FerZPepEX2Q1UaVeMOlMx,spotify:track:0FerZPepEX2Q1UaVeMOlMx,https://api.spotify.com/v1/tracks/0FerZPepEX2Q1UaVeMOlMx,https://api.spotify.com/v1/audio-analysis/0FerZPepEX2Q1UaVeMOlMx,195402,4,sad
6,0.651,0.119,8,-16.58,1,0.04,0.976,0.0,0.163,0.376,97.061,audio_features,3yCIo7ZKtF2f485ujwbvoB,spotify:track:3yCIo7ZKtF2f485ujwbvoB,https://api.spotify.com/v1/tracks/3yCIo7ZKtF2f485ujwbvoB,https://api.spotify.com/v1/audio-analysis/3yCIo7ZKtF2f485ujwbvoB,244390,4,sad
7,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,audio_features,1J14CdDAvBTE1AJYUOwl6C,spotify:track:1J14CdDAvBTE1AJYUOwl6C,https://api.spotify.com/v1/tracks/1J14CdDAvBTE1AJYUOwl6C,https://api.spotify.com/v1/audio-analysis/1J14CdDAvBTE1AJYUOwl6C,185147,3,sad
8,0.573,0.59,0,-6.308,0,0.0352,0.528,0.0,0.192,0.177,124.958,audio_features,7eEcVUDXfIaZPq4kwhPIML,spotify:track:7eEcVUDXfIaZPq4kwhPIML,https://api.spotify.com/v1/tracks/7eEcVUDXfIaZPq4kwhPIML,https://api.spotify.com/v1/audio-analysis/7eEcVUDXfIaZPq4kwhPIML,186975,3,sad
9,0.648,0.115,6,-17.133,1,0.0445,0.939,3.88e-05,0.11,0.29,119.967,audio_features,2v8GT5HHcqFaTXS2xijw4r,spotify:track:2v8GT5HHcqFaTXS2xijw4r,https://api.spotify.com/v1/tracks/2v8GT5HHcqFaTXS2xijw4r,https://api.spotify.com/v1/audio-analysis/2v8GT5HHcqFaTXS2xijw4r,214815,4,sad
