,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.64,0.593,10,-6.068,1,0.0431,0.32,0.0,0.104,0.432,155.08,audio_features,05ABOPiW13nqIedJfqmfPM,spotify:track:05ABOPiW13nqIedJfqmfPM,https://api.spotify.com/v1/tracks/05ABOPiW13nqIedJfqmfPM,https://api.spotify.com/v1/audio-analysis/05ABOPiW13nqIedJfqmfPM,147713,4,sad
1,0.632,0.578,9,-7.657,0,0.0905,0.714,0.0,0.42,0.297,139.324,audio_features,6s86N7LVaJZuU4alwKp6XO,spotify:track:6s86N7LVaJZuU4alwKp6XO,https://api.spotify.com/v1/tracks/6s86N7LVaJZuU4alwKp6XO,https://api.spotify.com/v1/audio-analysis/6s86N7LVaJZuU4alwKp6XO,157556,4,sad
2,0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,audio_features,04NMWz4ctkuILV6mUR2iWp,spotify:track:04NMWz4ctkuILV6mUR2iWp,https://api.spotify.com/v1/tracks/04NMWz4ctkuILV6mUR2iWp,https://api.spotify.com/v1/audio-analysis/04NMWz4ctkuILV6mUR2iWp,209132,4,sad
3,0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,audio_features,6xw8ld1ztoCKifwTN6uGDq,spotify:track:6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/tracks/6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/audio-analysis/6xw8ld1ztoCKifwTN6uGDq,200524,4,sad
4,0.612,0.544,9,-7.279,1,0.0666,0.408,0.0,0.0998,0.694,86.046,audio_features,3Q7bVgmFnAoUmVngIZnE4k,spotify:track:3Q7bVgmFnAoUmVngIZnE4k,https://api.spotify.com/v1/tracks/3Q7bVgmFnAoUmVngIZnE4k,https://api.spotify.com/v1/audio-analysis/3Q7bVgmFnAoUmVngIZnE4k,240038,4,sad
5,0.692,0.431,6,-11.884,1,0.0335,0.305,1.39e-05,0.132,0.327,138.925,audio_features,6CYT0souHUHKTO4EMzTUFg,spotify:track:6CYT0souHUHKTO4EMzTUFg,https://api.spotify.com/v1/tracks/6CYT0souHUHKTO4EMzTUFg,https://api.spotify.com/v1/audio-analysis/6CYT0souHUHKTO4EMzTUFg,183133,4,sad
6,0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,audio_features,61KpQadow081I2AsbeLcsb,spotify:track:61KpQadow081I2AsbeLcsb,https://api.spotify.com/v1/tracks/61KpQadow081I2AsbeLcsb,https://api.spotify.com/v1/audio-analysis/61KpQadow081I2AsbeLcsb,215508,4,sad
7,0.702,0.508,8,-7.105,1,0.035,0.144,0.0,0.108,0.143,82.008,audio_features,1eyek0KJEh2v5HQ9uQSybb,spotify:track:1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/tracks/1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/audio-analysis/1eyek0KJEh2v5HQ9uQSybb,252337,4,sad
8,0.54,0.542,5,-5.562,1,0.0568,0.477,0.0,0.0833,0.334,77.43,audio_features,0n1SCmuSFEqRQxXvlxCNBy,spotify:track:0n1SCmuSFEqRQxXvlxCNBy,https://api.spotify.com/v1/tracks/0n1SCmuSFEqRQxXvlxCNBy,https://api.spotify.com/v1/audio-analysis/0n1SCmuSFEqRQxXvlxCNBy,194000,4,sad
9,0.655,0.668,6,-6.82,1,0.0374,0.125,0.0,0.111,0.637,144.978,audio_features,4vBefXybmvZ8uWzjxOvZP4,spotify:track:4vBefXybmvZ8uWzjxOvZP4,https://api.spotify.com/v1/tracks/4vBefXybmvZ8uWzjxOvZP4,https://api.spotify.com/v1/audio-analysis/4vBefXybmvZ8uWzjxOvZP4,180049,4,sad
10,0.642,0.392,4,-7.846,0,0.0372,0.0151,0.0,0.352,0.0479,138.065,audio_features,4f9IfFvBFm7Gsf1IVEudyf,spotify:track:4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/tracks/4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/audio-analysis/4f9IfFvBFm7Gsf1IVEudyf,177440,4,sad
11,0.572,0.621,2,-7.298,1,0.0336,0.543,2.19e-06,0.124,0.35,159.989,audio_features,2jgq1RlYLt4FZldm4KAfj2,spotify:track:2jgq1RlYLt4FZldm4KAfj2,https://api.spotify.com/v1/tracks/2jgq1RlYLt4FZldm4KAfj2,https://api.spotify.com/v1/audio-analysis/2jgq1RlYLt4FZldm4KAfj2,187544,4,sad
12,0.749,0.535,4,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,audio_features,0ClPIeT6MSgfSgQ9ZrJbAq,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/tracks/0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/audio-analysis/0ClPIeT6MSgfSgQ9ZrJbAq,196607,4,sad
13,0.656,0.436,2,-10.382,1,0.0542,0.424,0.000114,0.111,0.111,97.881,audio_features,1bQ5gQOyzWbPl6TXFuvi8z,spotify:track:1bQ5gQOyzWbPl6TXFuvi8z,https://api.spotify.com/v1/tracks/1bQ5gQOyzWbPl6TXFuvi8z,https://api.spotify.com/v1/audio-analysis/1bQ5gQOyzWbPl6TXFuvi8z,167463,4,sad
