,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4,sad
1,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,audio_features,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/tracks/55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/audio-analysis/55Am8neGJkdj2ADaM3aw5H,208827,4,sad
2,0.616,0.576,11,-5.495,0,0.0532,0.0723,0.0,0.375,0.269,89.962,audio_features,15OCqNPYoLziEAsbVnqRj5,spotify:track:15OCqNPYoLziEAsbVnqRj5,https://api.spotify.com/v1/tracks/15OCqNPYoLziEAsbVnqRj5,https://api.spotify.com/v1/audio-analysis/15OCqNPYoLziEAsbVnqRj5,182121,4,sad
3,0.824,0.3,1,-6.678,0,0.0565,0.854,0.0,0.174,0.227,112.867,audio_features,1cpVLszZnKUHUjsJDTEi3D,spotify:track:1cpVLszZnKUHUjsJDTEi3D,https://api.spotify.com/v1/tracks/1cpVLszZnKUHUjsJDTEi3D,https://api.spotify.com/v1/audio-analysis/1cpVLszZnKUHUjsJDTEi3D,175980,4,sad
4,0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,audio_features,47EWMOElkkbMp5m9SBkx7d,spotify:track:47EWMOElkkbMp5m9SBkx7d,https://api.spotify.com/v1/tracks/47EWMOElkkbMp5m9SBkx7d,https://api.spotify.com/v1/audio-analysis/47EWMOElkkbMp5m9SBkx7d,184638,1,sad
5,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,audio_features,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/tracks/1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/audio-analysis/1ZMiCix7XSAbfAJlEZWMCp,240133,4,sad
6,0.478,0.339,4,-7.355,1,0.0544,0.688,0.0,0.104,0.288,145.441,audio_features,754zNJgoWQaGETFzSYVlmC,spotify:track:754zNJgoWQaGETFzSYVlmC,https://api.spotify.com/v1/tracks/754zNJgoWQaGETFzSYVlmC,https://api.spotify.com/v1/audio-analysis/754zNJgoWQaGETFzSYVlmC,203300,4,sad
7,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,audio_features,3T8KVPcFVyyzswMnS8NC8t,spotify:track:3T8KVPcFVyyzswMnS8NC8t,https://api.spotify.com/v1/tracks/3T8KVPcFVyyzswMnS8NC8t,https://api.spotify.com/v1/audio-analysis/3T8KVPcFVyyzswMnS8NC8t,202827,4,sad
8,0.501,0.167,1,-14.061,1,0.0484,0.885,0.0,0.111,0.356,112.275,audio_features,5kcvBnt6DPX3AMEsCx1qDh,spotify:track:5kcvBnt6DPX3AMEsCx1qDh,https://api.spotify.com/v1/tracks/5kcvBnt6DPX3AMEsCx1qDh,https://api.spotify.com/v1/audio-analysis/5kcvBnt6DPX3AMEsCx1qDh,228443,3,sad
9,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4,sad
