,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.037,audio_features,7sapKrjDij2fpDVj0GxP66,spotify:track:7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/tracks/7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/audio-analysis/7sapKrjDij2fpDVj0GxP66,257133,4,sad
1,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4,sad
2,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,audio_features,3pRjpQahpix0exFO8Y3CNH,spotify:track:3pRjpQahpix0exFO8Y3CNH,https://api.spotify.com/v1/tracks/3pRjpQahpix0exFO8Y3CNH,https://api.spotify.com/v1/audio-analysis/3pRjpQahpix0exFO8Y3CNH,223067,3,sad
3,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4,sad
4,0.321,0.511,8,-7.77,1,0.0306,0.513,0.0,0.127,0.17,128.98,audio_features,5t2gSYVvBV9kH4t7Czertq,spotify:track:5t2gSYVvBV9kH4t7Czertq,https://api.spotify.com/v1/tracks/5t2gSYVvBV9kH4t7Czertq,https://api.spotify.com/v1/audio-analysis/5t2gSYVvBV9kH4t7Czertq,222120,4,sad
5,0.386,0.452,2,-7.715,1,0.0278,0.417,0.0,0.0881,0.287,169.837,audio_features,5auMzVHFr5Zfw6IbKarZ56,spotify:track:5auMzVHFr5Zfw6IbKarZ56,https://api.spotify.com/v1/tracks/5auMzVHFr5Zfw6IbKarZ56,https://api.spotify.com/v1/audio-analysis/5auMzVHFr5Zfw6IbKarZ56,279827,3,sad
6,0.687,0.537,10,-7.631,1,0.0294,0.566,0.0,0.107,0.265,120.03,audio_features,7HhKuJbtiNbZsEDLNQvOnH,spotify:track:7HhKuJbtiNbZsEDLNQvOnH,https://api.spotify.com/v1/tracks/7HhKuJbtiNbZsEDLNQvOnH,https://api.spotify.com/v1/audio-analysis/7HhKuJbtiNbZsEDLNQvOnH,257307,4,sad
7,0.61,0.349,0,-9.321,1,0.0301,0.554,0.0099,0.201,0.155,136.012,audio_features,7keXdrB4mz57u4b8YkCwag,spotify:track:7keXdrB4mz57u4b8YkCwag,https://api.spotify.com/v1/tracks/7keXdrB4mz57u4b8YkCwag,https://api.spotify.com/v1/audio-analysis/7keXdrB4mz57u4b8YkCwag,245747,4,sad
8,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4,sad
9,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,audio_features,57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,https://api.spotify.com/v1/tracks/57uX2vR9j9DNiANDYfXw1i,https://api.spotify.com/v1/audio-analysis/57uX2vR9j9DNiANDYfXw1i,256613,4,sad
